trade_date,vix_close,regime
2025-12-12,15.739999771118164,medium
2025-12-15,16.5,medium
2025-12-16,16.479999542236328,medium
2025-12-17,17.6200008392334,medium
2025-12-18,16.8700008392334,medium
2025-12-19,14.90999984741211,low
2025-12-22,14.079999923706055,low
2025-12-23,14.0,low
2025-12-24,13.470000267028809,low
2025-12-26,13.600000381469727,low
2025-12-29,14.199999809265137,low
2025-12-30,14.329999923706055,low
2025-12-31,14.949999809265137,low
2026-01-02,14.510000228881836,low
2026-01-05,14.899999618530273,low
2026-01-06,14.75,low
2026-01-07,15.380000114440918,medium
2026-01-08,15.449999809265137,medium
2026-01-09,14.489999771118164,low
2026-01-12,15.119999885559082,medium
2026-01-13,15.979999542236328,medium
2026-01-14,16.75,medium
2026-01-15,15.84000015258789,medium
2026-01-16,15.859999656677246,medium
2026-01-20,20.09000015258789,medium
2026-01-21,16.899999618530273,medium
2026-01-22,15.640000343322754,medium
2026-01-23,16.09000015258789,medium
2026-01-26,16.149999618530273,medium
2026-01-27,16.350000381469727,medium
2026-01-28,16.350000381469727,medium
2026-01-29,16.8799991607666,medium
2026-01-30,17.440000534057617,medium
2026-02-02,16.34000015258789,medium
2026-02-03,18.0,medium
2026-02-04,18.639999389648438,medium
2026-02-05,21.770000457763672,medium
2026-02-06,20.3700008392334,medium
2026-02-09,17.360000610351562,medium
2026-02-10,17.790000915527344,medium
2026-02-11,17.649999618530273,medium
2026-02-12,20.81999969482422,medium
2026-02-13,20.600000381469727,medium
2026-02-17,20.290000915527344,medium
2026-02-18,19.6200008392334,medium
2026-02-19,20.229999542236328,medium
2026-02-20,19.09000015258789,medium
2026-02-23,21.010000228881836,medium
2026-02-24,19.549999237060547,medium
2026-02-25,17.93000030517578,medium
2026-02-26,18.6299991607666,medium
2026-02-27,19.860000610351562,medium
2026-03-02,21.440000534057617,medium
2026-03-03,23.56999969482422,medium
2026-03-04,21.149999618530273,medium
2026-03-05,23.75,medium
2026-03-06,29.489999771118164,high
2026-03-09,25.5,high
2026-03-10,24.93000030517578,medium
2026-03-11,24.229999542236328,medium
2026-03-12,27.290000915527344,high
2026-03-13,27.190000534057617,high
2026-03-16,23.510000228881836,medium
2026-03-17,22.3700008392334,medium
2026-03-18,25.09000015258789,high
2026-03-19,24.059999465942383,medium
2026-03-20,26.780000686645508,high
2026-03-23,26.149999618530273,high
2026-03-24,26.950000762939453,high
2026-03-25,25.329999923706055,high
2026-03-26,27.440000534057617,high
2026-03-27,31.049999237060547,high
2026-03-30,30.610000610351562,high
2026-03-31,25.25,high
2026-04-01,24.540000915527344,medium
2026-04-02,23.8700008392334,medium
2026-04-06,24.170000076293945,medium
2026-04-07,25.780000686645508,high
2026-04-08,21.040000915527344,medium
2026-04-09,19.489999771118164,medium
2026-04-10,19.229999542236328,medium
